state,date,cumul_cases,cumul_deaths
AK,2020-06-25,821,12
AK,2020-06-26,839,14
AK,2020-06-27,858,14
AK,2020-06-28,887,14
AK,2020-06-29,908,14
AK,2020-06-30,944,14
AK,2020-07-01,982,14
AK,2020-07-02,1020,14
AK,2020-07-03,1065,15
AK,2020-07-04,1114,16
AK,2020-07-05,1141,16
AK,2020-07-06,1168,16
AK,2020-07-07,1186,17
AK,2020-07-08,1226,17
AK,2020-07-09,1273,17
AK,2020-07-10,1323,17
AK,2020-07-11,1386,17
AK,2020-07-12,1478,17
AK,2020-07-13,1537,17
AK,2020-07-14,1580,17
AK,2020-07-15,1631,17
AK,2020-07-16,1695,17
AK,2020-07-17,1737,17
AK,2020-07-18,1799,18
AK,2020-07-19,1882,18
AK,2020-07-20,1955,18
AK,2020-07-21,2045,18
AK,2020-07-22,2139,19
AK,2020-07-23,2203,19
AK,2020-07-24,2260,19
AK,2020-07-25,2348,20
AK,2020-07-26,2533,20
AK,2020-07-27,2627,21
AK,2020-07-28,2735,22
AK,2020-07-29,2803,22
AK,2020-07-30,2887,23
AK,2020-07-31,2993,23
AK,2020-08-01,3137,24
AK,2020-08-02,3273,24
AK,2020-08-03,3331,25
AK,2020-08-04,3392,25
AK,2020-08-05,3447,25
AK,2020-08-06,3487,25
AK,2020-08-07,3542,25
AK,2020-08-08,3621,26
AK,2020-08-09,3718,26
AK,2020-08-10,3786,26
AK,2020-08-11,3835,26
AK,2020-08-12,3896,27
AK,2020-08-13,3978,27
AK,2020-08-14,4078,27
AK,2020-08-15,4162,28
AK,2020-08-16,4263,28
AK,2020-08-17,4313,28
AK,2020-08-18,4379,29
AK,2020-08-19,4452,29
AK,2020-08-20,4535,29
AK,2020-08-21,4604,30
AK,2020-08-22,4692,31
AK,2020-08-23,4758,32
AK,2020-08-24,4829,32
AK,2020-08-25,4862,36
AK,2020-08-26,4914,37
AK,2020-08-27,4998,37
AK,2020-08-28,5114,37
AK,2020-08-29,5207,37
AK,2020-08-30,5250,37
AK,2020-08-31,5286,37
AK,2020-09-01,5321,39
AK,2020-09-02,5387,39
AK,2020-09-03,5475,40
AK,2020-09-04,5594,40
AK,2020-09-05,5681,42
AK,2020-09-06,5776,42
AK,2020-09-07,5810,42
AK,2020-09-08,5843,42
AK,2020-09-09,5908,42
AK,2020-09-10,6022,42
AK,2020-09-11,6111,43
AK,2020-09-12,6214,44
AK,2020-09-13,6275,44
AK,2020-09-14,6350,44
AK,2020-09-15,6393,44
AK,2020-09-16,6443,44
AK,2020-09-17,6551,44
AK,2020-09-18,6658,45
AK,2020-09-19,6752,45
AK,2020-09-20,6860,45
AK,2020-09-21,6930,45
AK,2020-09-22,6987,45
AK,2020-09-23,7063,45
AK,2020-09-24,7194,45
AK,2020-09-25,7320,51
AK,2020-09-26,7439,52
AK,2020-09-27,7549,56
AK,2020-09-28,7663,56
AK,2020-09-29,7785,56
AK,2020-09-30,7889,56
AK,2020-10-01,8026,57
AK,2020-10-02,8167,57
AK,2020-10-03,8306,58
AK,2020-10-04,8447,58
AK,2020-10-05,8643,58
AK,2020-10-06,8790,58
AK,2020-10-07,8911,59
AK,2020-10-08,9045,60
AK,2020-10-09,9232,60
AK,2020-10-10,9462,60
AK,2020-10-11,9712,60
AK,2020-10-12,9903,60
AK,2020-10-13,10059,60
AK,2020-10-14,10214,64
AK,2020-10-15,10380,65
AK,2020-10-16,10601,66
AK,2020-10-17,10811,67
AK,2020-10-18,11021,67
AK,2020-10-19,11225,67
AK,2020-10-20,11456,67
AK,2020-10-21,11680,68
AK,2020-10-22,11919,68
AK,2020-10-23,12167,68
AK,2020-10-24,12523,68
AK,2020-10-25,13041,68
AK,2020-10-26,13391,68
AK,2020-10-27,13779,70
AK,2020-10-28,14131,71
AK,2020-10-29,14481,77
AK,2020-10-30,14858,81
AK,2020-10-31,15312,82
AK,2020-11-01,15663,83
AK,2020-11-02,16007,84
AK,2020-11-03,16390,84
AK,2020-11-04,16798,84
AK,2020-11-05,17111,84
AK,2020-11-06,17618,84
AK,2020-11-07,18221,84
AK,2020-11-08,18732,84
AK,2020-11-09,19196,84
AK,2020-11-10,19734,92
AK,2020-11-11,20221,96
AK,2020-11-12,20702,96
AK,2020-11-13,21286,96
AK,2020-11-14,22020,98
AK,2020-11-15,22662,98
AK,2020-11-16,23240,98
AK,2020-11-17,23874,100
AK,2020-11-18,24419,100
AK,2020-11-19,24909,101
AK,2020-11-20,25369,101
AK,2020-11-21,26044,102
AK,2020-11-22,26587,103
AK,2020-11-23,27085,103
AK,2020-11-24,27669,116
AK,2020-11-25,28339,116
AK,2020-11-26,28892,119
AK,2020-11-27,29554,119
AK,2020-11-28,30204,121
AK,2020-11-29,30816,121
AK,2020-11-30,31323,121
AK,2020-12-01,31834,122
AK,2020-12-02,32531,122
AK,2020-12-03,33291,130
AK,2020-12-04,34041,142
AK,2020-12-05,34963,143
AK,2020-12-06,35720,143
AK,2020-12-07,36196,146
AK,2020-12-08,36758,146
AK,2020-12-09,37342,150
AK,2020-12-10,37962,155
AK,2020-12-11,38584,158
AK,2020-12-12,39101,176
AK,2020-12-13,39738,176
AK,2020-12-14,40160,176
AK,2020-12-15,40438,179
AK,2020-12-16,41041,181
AK,2020-12-17,41418,183
AK,2020-12-18,41905,183
AK,2020-12-19,42235,184
AK,2020-12-20,42413,184
AK,2020-12-21,42563,184
AK,2020-12-22,43001,194
AK,2020-12-23,43361,197
AK,2020-12-24,43629,199
AK,2020-12-25,43629,199
AK,2020-12-26,43990,200
AK,2020-12-27,44280,200
AK,2020-12-28,44406,200
AK,2020-12-29,44581,201
AK,2020-12-30,44966,203
AK,2020-12-31,45461,206
AK,2021-01-01,45461,206
AK,2021-01-02,46262,215
AK,2021-01-03,46552,215
AK,2021-01-04,46812,218
AK,2021-01-05,47006,218
AK,2021-01-06,47334,220
AK,2021-01-07,47660,223
AK,2021-01-08,48063,223
AK,2021-01-09,48374,224
AK,2021-01-10,48624,224
AK,2021-01-11,48797,224
AK,2021-01-12,48797,224
AK,2021-01-13,49203,226
AK,2021-01-14,49535,228
AK,2021-01-15,49835,229
AK,2021-01-16,50017,229
AK,2021-01-17,50296,229
AK,2021-01-18,50447,229
AK,2021-01-19,50572,230
AK,2021-01-20,50732,253
AK,2021-01-21,50941,254
AK,2021-01-22,51204,254
AK,2021-01-23,51445,259
AK,2021-01-24,51610,259
AK,2021-01-25,51693,259
AK,2021-01-26,51778,260
AK,2021-01-27,51951,261
AK,2021-01-28,52150,262
AK,2021-01-29,52335,262
AK,2021-01-30,52470,262
AK,2021-01-31,52598,262
AK,2021-02-01,52668,262
AK,2021-02-02,52775,279
AK,2021-02-03,52956,279
AK,2021-02-04,53114,279
AK,2021-02-05,53279,279
AK,2021-02-06,53279,279
AK,2021-02-07,53279,279
AK,2021-02-08,53694,279
AK,2021-02-09,53809,280
AK,2021-02-10,53991,280
AK,2021-02-11,54134,280
AK,2021-02-12,54282,282
AK,2021-02-13,54282,282
AK,2021-02-14,54282,282
AK,2021-02-15,54282,282
AK,2021-02-16,54736,287
AK,2021-02-17,54799,288
AK,2021-02-18,55009,288
AK,2021-02-19,55198,289
AK,2021-02-20,55198,289
AK,2021-02-21,55198,289
AK,2021-02-22,55507,290
AK,2021-02-23,55560,290
AK,2021-02-24,55736,290
AK,2021-02-25,55886,290
AK,2021-02-26,55989,290
AK,2021-02-27,55989,290
AK,2021-02-28,55989,290
AK,2021-03-01,56339,300
AK,2021-03-02,56428,302
AK,2021-03-03,56605,303
AK,2021-03-04,56745,303
AK,2021-03-05,56886,305
AK,2021-03-06,56886,305
AK,2021-03-07,56886,305
AL,2020-03-07,0,0
AL,2020-03-08,0,0
AL,2020-03-09,0,0
AL,2020-03-10,0,0
AL,2020-03-11,0,0
AL,2020-03-12,0,0
AL,2020-03-13,1,0
AL,2020-03-14,6,0
AL,2020-03-15,12,0
AL,2020-03-16,28,0
AL,2020-03-17,36,0
AL,2020-03-18,46,0
AL,2020-03-19,68,0
AL,2020-03-20,81,0
AL,2020-03-21,124,0
AL,2020-03-22,138,0
AL,2020-03-23,167,0
AL,2020-03-24,215,0
AL,2020-03-25,283,0
AL,2020-03-26,506,1
AL,2020-03-27,587,3
AL,2020-03-28,696,3
AL,2020-03-29,806,4
AL,2020-03-30,859,6
AL,2020-03-31,981,13
AL,2020-04-01,1077,26
AL,2020-04-02,1233,32
AL,2020-04-03,1432,35
AL,2020-04-04,1580,43
AL,2020-04-05,1796,45
AL,2020-04-06,1968,50
AL,2020-04-07,2119,56
AL,2020-04-08,2369,66
AL,2020-04-09,2769,74
AL,2020-04-10,2968,80
AL,2020-04-11,3191,91
AL,2020-04-12,3525,93
AL,2020-04-13,3734,99
AL,2020-04-14,3876,110
AL,2020-04-15,4113,121
AL,2020-04-16,4345,133
AL,2020-04-17,4530,144
AL,2020-04-18,4655,146
AL,2020-04-19,4837,154
AL,2020-04-20,5025,167
AL,2020-04-21,5231,177
AL,2020-04-22,5465,194
AL,2020-04-23,5778,197
AL,2020-04-24,5832,197
AL,2020-04-25,6137,212
AL,2020-04-26,6270,216
AL,2020-04-27,6499,222
AL,2020-04-28,6687,242
AL,2020-04-29,6842,245
AL,2020-04-30,7019,269
AL,2020-05-01,7158,279
AL,2020-05-02,7434,288
AL,2020-05-03,7725,290
AL,2020-05-04,8025,296
AL,2020-05-05,8285,313
AL,2020-05-06,8581,340
AL,2020-05-07,8898,349
AL,2020-05-08,9221,375
AL,2020-05-09,9567,388
AL,2020-05-10,9777,393
AL,2020-05-11,10009,401
AL,2020-05-12,10310,429
AL,2020-05-13,10617,449
AL,2020-05-14,10968,467
AL,2020-05-15,11216,476
AL,2020-05-16,11523,485
AL,2020-05-17,11771,488
AL,2020-05-18,12086,489
AL,2020-05-19,12376,504
AL,2020-05-20,12744,517
AL,2020-05-21,13119,529
AL,2020-05-22,13563,537
AL,2020-05-23,13938,546
AL,2020-05-24,14327,551
AL,2020-05-25,14730,562
AL,2020-05-26,15396,575
AL,2020-05-27,15843,581
AL,2020-05-28,16310,590
AL,2020-05-29,16823,605
AL,2020-05-30,17359,618
AL,2020-05-31,17903,631
AL,2020-06-01,18363,646
AL,2020-06-02,18642,651
AL,2020-06-03,18851,653
AL,2020-06-04,19072,653
AL,2020-06-05,19387,676
AL,2020-06-06,20043,689
AL,2020-06-07,20500,692
AL,2020-06-08,20925,718
AL,2020-06-09,21422,729
AL,2020-06-10,21989,744
AL,2020-06-11,22845,755
AL,2020-06-12,23710,769
AL,2020-06-13,24601,773
AL,2020-06-14,25615,773
AL,2020-06-15,26272,774
AL,2020-06-16,26912,785
AL,2020-06-17,27312,790
AL,2020-06-18,28206,810
AL,2020-06-19,29002,822
AL,2020-06-20,29549,838
AL,2020-06-21,30021,839
AL,2020-06-22,30454,841
AL,2020-06-23,31097,864
AL,2020-06-24,32064,891
AL,2020-06-25,33206,896
AL,2020-06-26,34183,907
AL,2020-06-27,35083,919
AL,2020-06-28,35441,919
AL,2020-06-29,37175,929
AL,2020-06-30,38045,950
AL,2020-07-01,38962,972
AL,2020-07-02,40111,985
AL,2020-07-03,41865,1006
AL,2020-07-04,42862,1007
AL,2020-07-05,43953,1007
AL,2020-07-06,44878,1007
AL,2020-07-07,45785,1033
AL,2020-07-08,46962,1058
AL,2020-07-09,49174,1068
AL,2020-07-10,50508,1104
AL,2020-07-11,51947,1114
AL,2020-07-12,53587,1121
AL,2020-07-13,55545,1124
AL,2020-07-14,57255,1164
AL,2020-07-15,59067,1211
AL,2020-07-16,61088,1230
AL,2020-07-17,63091,1265
AL,2020-07-18,65234,1286
AL,2020-07-19,67011,1287
AL,2020-07-20,68891,1291
AL,2020-07-21,70358,1303
AL,2020-07-22,71813,1364
AL,2020-07-23,74212,1397
AL,2020-07-24,76005,1438
AL,2020-07-25,78130,1456
AL,2020-07-26,79294,1473
AL,2020-07-27,81115,1491
AL,2020-07-28,82366,1491
AL,2020-07-29,83782,1538
AL,2020-07-30,85762,1565
AL,2020-07-31,87723,1580
AL,2020-08-01,89349,1603
AL,2020-08-02,91444,1627
AL,2020-08-03,92661,1633
AL,2020-08-04,93702,1666
AL,2020-08-05,94654,1695
AL,2020-08-06,96592,1714
AL,2020-08-07,98301,1735
AL,2020-08-08,98387,1735
AL,2020-08-09,101334,1768
AL,2020-08-10,103020,1797
AL,2020-08-11,103851,1847
AL,2020-08-12,104786,1882
AL,2020-08-13,105557,1890
AL,2020-08-14,106309,1893
AL,2020-08-15,107580,1896
AL,2020-08-16,108433,1898
AL,2020-08-17,109004,1925
AL,2020-08-18,110361,1936
AL,2020-08-19,111478,1944
AL,2020-08-20,112449,1974
AL,2020-08-21,112770,1990
AL,2020-08-22,114532,2011
AL,2020-08-23,115060,2013
AL,2020-08-24,116710,2024
AL,2020-08-25,117242,2037
AL,2020-08-26,119254,2045
AL,2020-08-27,121023,2076
AL,2020-08-28,122185,2107
AL,2020-08-29,123889,2152
AL,2020-08-30,125235,2162
AL,2020-08-31,126058,2182
AL,2020-09-01,127616,2200
AL,2020-09-02,128239,2217
AL,2020-09-03,129285,2233
AL,2020-09-04,130393,2266
AL,2020-09-05,131803,2275
AL,2020-09-06,132314,2276
AL,2020-09-07,132973,2276
AL,2020-09-08,133606,2277
AL,2020-09-09,134417,2285
AL,2020-09-10,135565,2301
AL,2020-09-11,136703,2333
AL,2020-09-12,137646,2350
AL,2020-09-13,138755,2351
AL,2020-09-14,139459,2355
AL,2020-09-15,140160,2387
AL,2020-09-16,141087,2392
AL,2020-09-17,141757,2401
AL,2020-09-18,142863,2428
AL,2020-09-19,144164,2437
AL,2020-09-20,144962,2437
AL,2020-09-21,145780,2439
AL,2020-09-22,146584,2457
AL,2020-09-23,147153,2488
AL,2020-09-24,148206,2506
AL,2020-09-25,150658,2491
AL,2020-09-26,151591,2501
AL,2020-09-27,152321,2501
AL,2020-09-28,152983,2501
AL,2020-09-29,153554,2517
AL,2020-09-30,154701,2540
AL,2020-10-01,155744,2548
AL,2020-10-02,156698,2550
AL,2020-10-03,158380,2558
AL,2020-10-04,159169,2558
AL,2020-10-05,159713,2559
AL,2020-10-06,160477,2580
AL,2020-10-07,161418,2601
AL,2020-10-08,161975,2637
AL,2020-10-09,163465,2653
AL,2020-10-10,164526,2664
AL,2020-10-11,165342,2664
AL,2020-10-12,166076,2665
AL,2020-10-13,167193,2665
AL,2020-10-14,167977,2706
AL,2020-10-15,169162,2756
AL,2020-10-16,170374,2786
AL,2020-10-17,171662,2788
AL,2020-10-18,172626,2788
AL,2020-10-19,173485,2789
AL,2020-10-20,174528,2805
AL,2020-10-21,175674,2828
AL,2020-10-22,177064,2843
AL,2020-10-23,180916,2859
AL,2020-10-24,183276,2866
AL,2020-10-25,184355,2866
AL,2020-10-26,185322,2866
AL,2020-10-27,186437,2892
AL,2020-10-28,187706,2911
AL,2020-10-29,189149,2914
AL,2020-10-30,190496,2932
AL,2020-10-31,192285,2967
AL,2020-11-01,193985,2973
AL,2020-11-02,194892,2973
AL,2020-11-03,195929,2987
AL,2020-11-04,197777,3006
AL,2020-11-05,199158,3026
AL,2020-11-06,200714,3049
AL,2020-11-07,202482,3082
AL,2020-11-08,203687,3084
AL,2020-11-09,204857,3084
AL,2020-11-10,206567,3120
AL,2020-11-11,208637,3201
AL,2020-11-12,210637,3213
AL,2020-11-13,213617,3231
AL,2020-11-14,215843,3246
AL,2020-11-15,217822,3248
AL,2020-11-16,219232,3249
AL,2020-11-17,220848,3301
AL,2020-11-18,223486,3347
AL,2020-11-19,225910,3419
AL,2020-11-20,228373,3451
AL,2020-11-21,230708,3457
AL,2020-11-22,232506,3457
AL,2020-11-23,234080,3459
AL,2020-11-24,236865,3472
AL,2020-11-25,239318,3532
AL,2020-11-26,241957,3572
AL,2020-11-27,242874,3572
AL,2020-11-28,244993,3572
AL,2020-11-29,247229,3577
AL,2020-11-30,249524,3578
AL,2020-12-01,252900,3638
AL,2020-12-02,256828,3711
AL,2020-12-03,260359,3776
AL,2020-12-04,264199,3831
AL,2020-12-05,267589,3877
AL,2020-12-06,269877,3889
AL,2020-12-07,272229,3892
AL,2020-12-08,276665,3942
AL,2020-12-09,280187,3985
AL,2020-12-10,284922,4034
AL,2020-12-11,288775,4086
AL,2020-12-12,292841,4102
AL,2020-12-13,295631,4102
AL,2020-12-14,297895,4102
AL,2020-12-15,301533,4124
AL,2020-12-16,305640,4198
AL,2020-12-17,310335,4254
AL,2020-12-18,315683,4296
AL,2020-12-19,319904,4389
AL,2020-12-20,322452,4389
AL,2020-12-21,324832,4389
AL,2020-12-22,329811,4452
AL,2020-12-23,334569,4587
AL,2020-12-24,338801,4676
AL,2020-12-25,342426,4680
AL,2020-12-26,343458,4685
AL,2020-12-27,345628,4691
AL,2020-12-28,347897,4712
AL,2020-12-29,351804,4737
AL,2020-12-30,356820,4774
AL,2020-12-31,361226,4827
AL,2021-01-01,365747,4872
AL,2021-01-02,369458,4872
AL,2021-01-03,371934,4873
AL,2021-01-04,374095,4878
AL,2021-01-05,379593,4886
AL,2021-01-06,384184,4994
AL,2021-01-07,389230,5080
AL,2021-01-08,394287,5191
AL,2021-01-09,399150,5299
AL,2021-01-10,401900,5334
AL,2021-01-11,404000,5347
AL,2021-01-12,407848,5573
AL,2021-01-13,410995,5760
AL,2021-01-14,414583,5945
AL,2021-01-15,417528,6030
AL,2021-01-16,420681,6119
AL,2021-01-17,422598,6120
AL,2021-01-18,424028,6121
AL,2021-01-19,426543,6126
AL,2021-01-20,429655,6283
AL,2021-01-21,432536,6379
AL,2021-01-22,436087,6486
AL,2021-01-23,439442,6657
AL,2021-01-24,441170,6660
AL,2021-01-25,443009,6662
AL,2021-01-26,445909,6896
AL,2021-01-27,449086,7172
AL,2021-01-28,452734,7340
AL,2021-01-29,455582,7566
AL,2021-01-30,455582,7566
AL,2021-01-31,459639,7688
AL,2021-02-01,460860,7688
AL,2021-02-02,462938,7894
AL,2021-02-03,465056,8203
AL,2021-02-04,467823,8365
AL,2021-02-05,469319,8449
AL,2021-02-06,471311,8513
AL,2021-02-07,472423,8515
AL,2021-02-08,473348,8523
AL,2021-02-09,474666,8579
AL,2021-02-10,476067,8888
AL,2021-02-11,477570,9021
AL,2021-02-12,478667,9180
AL,2021-02-13,479856,9242
AL,2021-02-14,480931,9242
AL,2021-02-15,481605,9244
AL,2021-02-16,482488,9257
AL,2021-02-17,483167,9346
AL,2021-02-18,484365,9424
AL,2021-02-19,485212,9573
AL,2021-02-20,485986,9590
AL,2021-02-21,486843,9592
AL,2021-02-22,487520,9592
AL,2021-02-23,488973,9660
AL,2021-02-24,490220,9744
AL,2021-02-25,491110,9831
AL,2021-02-26,491849,9869
AL,2021-02-27,492683,9930
AL,2021-02-28,493252,9929
AL,2021-03-01,493769,9931
AL,2021-03-02,494421,9991
AL,2021-03-03,497154,10029
AL,2021-03-04,498076,10094
AL,2021-03-05,498887,10122
AL,2021-03-06,499411,10149
AL,2021-03-07,499819,10148
AR,2020-03-06,0,0
AR,2020-03-07,0,0
AR,2020-03-08,0,0
AR,2020-03-09,0,0
AR,2020-03-10,0,0
AR,2020-03-11,0,0
AR,2020-03-12,6,0
AR,2020-03-13,9,0
AR,2020-03-14,12,0
AR,2020-03-15,16,0
AR,2020-03-16,22,0
AR,2020-03-17,22,0
AR,2020-03-18,33,0
AR,2020-03-19,46,0
AR,2020-03-20,96,0
AR,2020-03-21,118,0
AR,2020-03-22,165,0
AR,2020-03-23,174,0
AR,2020-03-24,218,0
AR,2020-03-25,280,2
AR,2020-03-26,335,3
AR,2020-03-27,381,3
AR,2020-03-28,404,5
AR,2020-03-29,426,6
AR,2020-03-30,473,7
AR,2020-03-31,523,8
AR,2020-04-01,584,10
AR,2020-04-02,643,12
AR,2020-04-03,704,12
AR,2020-04-04,743,14
AR,2020-04-05,830,16
AR,2020-04-06,875,16
AR,2020-04-07,946,16
AR,2020-04-08,1000,18
AR,2020-04-09,1119,21
AR,2020-04-10,1171,23
AR,2020-04-11,1226,24
AR,2020-04-12,1280,27
AR,2020-04-13,1410,30
AR,2020-04-14,1480,30
AR,2020-04-15,1569,33
AR,2020-04-16,1620,37
AR,2020-04-17,1695,37
AR,2020-04-18,1739,38
AR,2020-04-19,1781,40
AR,2020-04-20,1923,42
AR,2020-04-21,2227,43
AR,2020-04-22,2276,42
AR,2020-04-23,2465,45
AR,2020-04-24,2741,45
AR,2020-04-25,2829,47
AR,2020-04-26,2941,49
AR,2020-04-27,3017,50
AR,2020-04-28,3111,52
AR,2020-04-29,3192,59
AR,2020-04-30,3255,61
AR,2020-05-01,3321,64
AR,2020-05-02,3372,73
AR,2020-05-03,3431,76
AR,2020-05-04,3458,81
AR,2020-05-05,3496,83
AR,2020-05-06,3568,85
AR,2020-05-07,3611,87
AR,2020-05-08,3694,88
AR,2020-05-09,3747,88
AR,2020-05-10,3747,88
AR,2020-05-11,4034,94
AR,2020-05-12,4164,95
AR,2020-05-13,4164,95
AR,2020-05-14,4236,97
AR,2020-05-15,4463,98
AR,2020-05-16,4578,98
AR,2020-05-17,4759,98
AR,2020-05-18,4813,100
AR,2020-05-19,4923,102
AR,2020-05-20,5003,107
AR,2020-05-21,5458,110
AR,2020-05-22,5612,113
AR,2020-05-23,5612,113
AR,2020-05-24,5922,116
AR,2020-05-25,6029,117
AR,2020-05-26,6180,119
AR,2020-05-27,6277,120
AR,2020-05-28,6538,120
AR,2020-05-29,6538,125
AR,2020-05-30,7013,133
AR,2020-05-31,7253,133
AR,2020-06-01,7443,133
AR,2020-06-02,7443,133
AR,2020-06-03,8067,142
AR,2020-06-04,8067,142
AR,2020-06-05,8651,152
AR,2020-06-06,9101,154
AR,2020-06-07,9426,154
AR,2020-06-08,9740,155
AR,2020-06-09,10080,161
AR,2020-06-10,10368,165
AR,2020-06-11,10816,171
AR,2020-06-12,11547,176
AR,2020-06-13,11547,176
AR,2020-06-14,12501,179
AR,2020-06-15,12917,182
AR,2020-06-16,13191,182
AR,2020-06-17,13606,197
AR,2020-06-18,13928,208
AR,2020-06-19,14631,214
AR,2020-06-20,15142,224
AR,2020-06-21,15142,224
AR,2020-06-22,16083,227
AR,2020-06-23,16678,237
AR,2020-06-24,17375,240
AR,2020-06-25,18062,240
AR,2020-06-26,18062,240
AR,2020-06-27,18740,249
AR,2020-06-28,19310,259
AR,2020-06-29,20257,265
AR,2020-06-30,20777,270
AR,2020-07-01,21197,277
AR,2020-07-02,22075,279
AR,2020-07-03,22622,281
AR,2020-07-04,23209,286
AR,2020-07-05,23209,286
AR,2020-07-06,24253,292
AR,2020-07-07,24512,292
AR,2020-07-08,24512,301
AR,2020-07-09,26052,309
AR,2020-07-10,26803,313
AR,2020-07-11,26803,313
AR,2020-07-12,28367,321
AR,2020-07-13,28939,323
AR,2020-07-14,29733,331
AR,2020-07-15,30297,335
AR,2020-07-16,31114,341
AR,2020-07-17,31762,353
AR,2020-07-18,31762,353
AR,2020-07-19,32533,357
AR,2020-07-20,33927,357
AR,2020-07-21,34655,374
AR,2020-07-22,35246,380
AR,2020-07-23,36259,386
AR,2020-07-24,37249,394
AR,2020-07-25,37249,394
AR,2020-07-26,38623,401
AR,2020-07-27,39447,408
AR,2020-07-28,40181,428
AR,2020-07-29,40968,434
AR,2020-07-30,41759,442
AR,2020-07-31,42511,453
AR,2020-08-01,43173,460
AR,2020-08-02,43173,458
AR,2020-08-03,44597,475
AR,2020-08-04,45381,490
AR,2020-08-05,46293,508
AR,2020-08-06,47028,515
AR,2020-08-07,48039,521
AR,2020-08-08,48039,521
AR,2020-08-09,49383,544
AR,2020-08-10,50028,555
AR,2020-08-11,50411,566
AR,2020-08-12,51114,566
AR,2020-08-13,51766,582
AR,2020-08-14,52392,587
AR,2020-08-15,51992,600
AR,2020-08-16,52665,599
AR,2020-08-17,53077,603
AR,2020-08-18,53487,619
AR,2020-08-19,54216,631
AR,2020-08-20,54765,641
AR,2020-08-21,55652,663
AR,2020-08-22,56199,674
AR,2020-08-23,56574,687
AR,2020-08-24,56894,696
AR,2020-08-25,57374,711
AR,2020-08-26,58023,732
AR,2020-08-27,58745,739
AR,2020-08-28,59583,756
AR,2020-08-29,60378,772
AR,2020-08-30,60856,784
AR,2020-08-31,61224,797
AR,2020-09-01,61497,814
AR,2020-09-02,62112,841
AR,2020-09-03,63504,861
AR,2020-09-04,64678,873
AR,2020-09-05,65226,882
AR,2020-09-06,65226,894
AR,2020-09-07,66280,908
AR,2020-09-08,66757,917
AR,2020-09-09,67255,928
AR,2020-09-10,67803,940
AR,2020-09-11,68983,953
AR,2020-09-12,69710,969
AR,2020-09-13,70219,981
